hsa-let-7a-3p	Phka1
hsa-let-7a-5p	Poteg
hsa-let-7a-5p	Thbs1
hsa-let-7b-3p	Phka1
hsa-let-7b-5p	Cdc25a
hsa-let-7b-5p	Nras
hsa-let-7b-5p	Poteg
hsa-let-7b-5p	Thbs1
hsa-let-7c-5p	Poteg
hsa-let-7c-5p	Thbs1
hsa-let-7d-5p	Olr1
hsa-let-7d-5p	Poteg
hsa-let-7d-5p	Thbs1
hsa-let-7e-5p	Ccr7
hsa-let-7e-5p	Poteg
hsa-let-7e-5p	Thbs1
hsa-let-7f-1-3p	Phka1
hsa-let-7f-2-3p	Phka1
hsa-let-7f-2-3p	Pxdn
hsa-let-7f-5p	Poteg
hsa-let-7f-5p	Thbs1
hsa-let-7g-5p	Poteg
hsa-let-7g-5p	Thbs1
hsa-let-7i-5p	Poteg
hsa-let-7i-5p	Thbs1
hsa-miR-1-3p	Pxdn
hsa-miR-1-3p	TH
hsa-miR-1-5p	Poteg
hsa-miR-103a-2-5p	Map1b
hsa-miR-103a-3p	Ccne1
hsa-miR-103a-3p	Cdk2
hsa-miR-103a-3p	Creb1
hsa-miR-103a-3p	Dmpk
hsa-miR-103a-3p	Rgs4
hsa-miR-106a-5p	Fem1a
hsa-miR-106a-5p	Piwil2
hsa-miR-106b-5p	Fem1a
hsa-miR-106b-5p	Piwil2
hsa-miR-107	Dmpk
hsa-miR-107	Rgs4
hsa-miR-10a-5p	Atg9a
hsa-miR-10a-5p	Fam216a
hsa-miR-10b-3p	Lmtk2
hsa-miR-10b-5p	Atg9a
hsa-miR-10b-5p	Fam216a
hsa-miR-1179	Dmpk
hsa-miR-1180-5p	Poteg
hsa-miR-1180-5p	Vav3
hsa-miR-1184	Npepps
hsa-miR-1184	Timp3
hsa-miR-1185-1-3p	Phka1
hsa-miR-1185-1-3p	Pxdn
hsa-miR-1185-2-3p	Phka1
hsa-miR-1185-2-3p	Pxdn
hsa-miR-1185-5p	Hmox1
hsa-miR-1185-5p	Poteg
hsa-miR-1199-5p	Map4
hsa-miR-1199-5p	Tnfrsf10b
hsa-miR-1200	Tmem127
hsa-miR-1205	Hmox1
hsa-miR-1205	Timp3
hsa-miR-1207-3p	Map1b
hsa-miR-1207-3p	Txlna
hsa-miR-1207-5p	Gnl1
hsa-miR-1207-5p	Hmox1
hsa-miR-1207-5p	Rgs4
hsa-miR-1207-5p	Serpine1
hsa-miR-122-5p	Ang
hsa-miR-122-5p	Entpd4
hsa-miR-122-5p	Fbxo6
hsa-miR-122-5p	Map1b
hsa-miR-122-5p	Mapk8ip2
hsa-miR-122-5p	Osbpl10
hsa-miR-122-5p	Slc7a1
hsa-miR-122-5p	Zswim1
hsa-miR-1224-3p	Map4
hsa-miR-1224-3p	Plcg2
hsa-miR-1225-3p	Tnfrsf10b
hsa-miR-1226-3p	Serpine1
hsa-miR-1227-3p	Srsf1
hsa-miR-1227-5p	Dnajc6
hsa-miR-1228-3p	Akap11
hsa-miR-1233-3p	Tnfrsf10b
hsa-miR-1233-5p	Slc35e2
hsa-miR-1234-3p	Vav3
hsa-miR-1236-3p	Wars
hsa-miR-1236-5p	Igfbp4
hsa-miR-1237-3p	Ankle1
hsa-miR-1237-3p	Tnfrsf10b
hsa-miR-124-3p	Hes1
hsa-miR-124-3p	Mapk14
hsa-miR-124-3p	S1PR1
hsa-miR-124-5p	Tgfbr3
hsa-miR-1247-3p	Fut1
hsa-miR-1247-3p	Srsf1
hsa-miR-1249-3p	Plcg2
hsa-miR-1250-3p	Thbs1
hsa-miR-1252-3p	Eid1
hsa-miR-1252-3p	Thbs1
hsa-miR-1252-3p	Wars
hsa-miR-1252-5p	Igfbp4
hsa-miR-1253	Tbc1d13
hsa-miR-1254	Tbc1d13
hsa-miR-1255a	Igfbp4
hsa-miR-1255b-2-3p	Gnl1
hsa-miR-1255b-2-3p	Map1b
hsa-miR-1255b-5p	Igfbp4
hsa-miR-125a-3p	Ptpn3
hsa-miR-125a-5p	Cd59a
hsa-miR-125a-5p	Lfng
hsa-miR-125a-5p	Tnfrsf10b
hsa-miR-125a-5p	Wars
hsa-miR-125b-5p	Bak1
hsa-miR-125b-5p	Cd59a
hsa-miR-125b-5p	Lin28a
hsa-miR-125b-5p	Prtg
hsa-miR-125b-5p	Tef
hsa-miR-125b-5p	Tnfrsf10b
hsa-miR-125b-5p	Wars
hsa-miR-126-3p	Camsap1
hsa-miR-1260a	Map4
hsa-miR-1260b	Map4
hsa-miR-1261	Rgs4
hsa-miR-1262	Ccdc115
hsa-miR-1262	Ing5
hsa-miR-1266-5p	Vav3
hsa-miR-1269a	Map4
hsa-miR-1269b	Map4
