mmu-miR-100-5p	Adcy1
mmu-miR-100-5p	Ago2
mmu-miR-100-5p	Ap1ar
mmu-miR-100-5p	Arhgef12
mmu-miR-100-5p	Baz2a
mmu-miR-100-5p	Bmpr2
mmu-miR-100-5p	Camta1
mmu-miR-100-5p	Cdyl2
mmu-miR-100-5p	Cep85
mmu-miR-100-5p	Ctdspl
mmu-miR-100-5p	Cyp26b1
mmu-miR-100-5p	Epdr1
mmu-miR-100-5p	Etv3
mmu-miR-100-5p	Fgfr3
mmu-miR-100-5p	Fzd5
mmu-miR-100-5p	Fzd8
mmu-miR-100-5p	Gria4
mmu-miR-100-5p	Hoxa1
mmu-miR-100-5p	Hoxa3
mmu-miR-100-5p	Hs3st2
mmu-miR-100-5p	Hs3st3b1
mmu-miR-100-5p	Icmt
mmu-miR-100-5p	Igf1r
mmu-miR-100-5p	Insm1
mmu-miR-100-5p	Kbtbd8
mmu-miR-100-5p	Kdm6b
mmu-miR-100-5p	Lrrc8b
mmu-miR-100-5p	Mbnl1
mmu-miR-100-5p	Mtmr3
mmu-miR-100-5p	Mtor
mmu-miR-100-5p	Nox4
mmu-miR-100-5p	Ntrk3
mmu-miR-100-5p	Nxf1
mmu-miR-100-5p	Ppp3ca
mmu-miR-100-5p	Pura
mmu-miR-100-5p	Raver2
mmu-miR-100-5p	Rmnd5a
mmu-miR-100-5p	Rsbn1l
mmu-miR-100-5p	Seh1l
mmu-miR-100-5p	Setd1b
mmu-miR-100-5p	Sim1
mmu-miR-100-5p	Slc44a1
mmu-miR-100-5p	Smarca5
mmu-miR-100-5p	Taok1
mmu-miR-100-5p	Thap2
mmu-miR-100-5p	Trib1
mmu-miR-100-5p	Trib2
mmu-miR-100-5p	Trim71
mmu-miR-100-5p	Ttc39a
mmu-miR-100-5p	Zbtb7a
mmu-miR-100-5p	Zkscan16
mmu-miR-100-5p	Zzef1
mmu-miR-101a-3p	1110002E22Rik
mmu-miR-101a-3p	1190002N15Rik
mmu-miR-101a-3p	1810013L24Rik
mmu-miR-101a-3p	2210018M11Rik
mmu-miR-101a-3p	2310057M21Rik
mmu-miR-101a-3p	2410004B18Rik
mmu-miR-101a-3p	2900026A02Rik
mmu-miR-101a-3p	3110057O12Rik
mmu-miR-101a-3p	8430419L09Rik
mmu-miR-101a-3p	A630007B06Rik
mmu-miR-101a-3p	A830080D01Rik
mmu-miR-101a-3p	Aasdhppt
mmu-miR-101a-3p	AB041806
mmu-miR-101a-3p	Abca1
mmu-miR-101a-3p	Abcc5
mmu-miR-101a-3p	Abhd17b
mmu-miR-101a-3p	Abhd17c
mmu-miR-101a-3p	Abhd2
mmu-miR-101a-3p	Abi2
mmu-miR-101a-3p	Ablim3
mmu-miR-101a-3p	Abtb2
mmu-miR-101a-3p	Acbd3
mmu-miR-101a-3p	Acp2
